TaskID,Task_Description,Keywords,Category
1,Do a digital screen-free evening challenge,"screen-free, evening, challenge",Health
2,Sort and dispose of expired items from the bathroom cabinet,"bathroom, dispose,expired,items",Household
3,Plant new flowers in the garden,"flowers, garden, planting",Personal
4,Lead a brainstorming session for innovation,"session,innovation,lead",Work
5,Take a digital photography class,"photography, digital",Personal
6,Generate financial reports,"report, financial,reports, presentation",Work
7,Reduce stress with breathing techniques,"breathing ,consult,doctor, stress",Health
8,Write a press release for a new product,"report, upload, code, development,meeting",Work
9,Create a scrapbook of memorable moments,"scrapbook, memories, create",Personal
10,Set up video conference for stakeholders,"report, code, development,meeting,conference",Work
11,Draft the client email response,"code, development,meeting,client,email,report",Work
12,Explore a story-driven game or RPG.,"story,game,gaming",Personal
13,Organize bookshelves by category,"bookshelves, organize, category",Household
14,Do a social media detox for a day,"social media, detox, break",Personal
15,Update meeting minutes and share with the team.,"update, meeting, minutes, share",Work
16,Organize the home workspace for better productivity,"workspace, organize",Household
17,Start a journaling habit,"journaling, habit, writing",Personal
18,Organize the pantry and check expiry dates.,"organize, pantry, expiry, check",Household
19,Watch TED Talks on learning strategies,"TED Talks, strategies, learning",Education
20,Stretch for flexibility improvement,"stretch, flexibility, improvement",Health
21,Wash dishes and clean the sink area.,"wash, dishes, sink, clean",Household
22,Write a gratitude journal entry,"gratitude, journal, writing",Personal
23,Oversee inventory management,"meeting,inventory,invent,management",Work
24,Take a cold shower therapy challenge,"shower, therapy",Health
25,Take probiotic supplements for gut health.,"probiotic, supplements, gut, health",Health
26,Attend a concert or theater show,"concert, theater, entertainment",Personal
27,Organize digital study resources,"digital, study, resources",Education
28,Solve previous year test papers for practice.,"solve, previous, test, papers",Education
29,Take digestive enzyme tablets after heavy meals.,"digestive, enzyme, tablets, meals",Health
30,Take short quiz tests to check understanding.,"quiz, tests, check, understanding",Education
31,Revisit an old hobby from childhood,"hobby, childhood, revisit",Personal
32,Submit the homework assignment before the deadline,"homework, assignment, deadline",Education
33,Create a mind map for complex concepts,"mind map, concepts, create",Education
