TaskID,Task_Description,Keywords,Due_Days,Priority_Score
1,Submit a project proposal for a new client,"submit,project,proposal,new,client,work",5,4
2,Reduce caffeine intake for a day,"reduce,caffeine,intake,health",5,0
3,Try a new recipe for a homemade meal,"try,new,recipe,homemade,meal,personal",4,5
4,Review project deliverables and set deadlines for completion,"review,project,deliverables,set,deadlines,work",1,4
5,Watch an educational documentary on history,"watch,educational,documentary,history,education",3,2
6,Create a marketing campaign for a new product,"create,marketing,campaign,new,product,work",2,4
7,Submit a report on monthly work achievements,"submit,report,monthly,work,achievements,work",5,4
8,Review and update your educational portfolio,"review,update,educational,portfolio,education",6,2
9,Take a relaxing bath with essential oils,"take,relaxing,bath,personal",2,5
10,Write a summary of a history documentary,"write,summary,history,documentary,education",5,2
11,Attend a professional development webinar,"attend,professional,development,webinar,work",4,4
12,Develop a project timeline and assign team tasks,"develop,project,timeline,assign,tasks,work",4,4
13,Plan a weekend getaway to relax and recharge,"plan,weekend,getaway,relax,personal",3,5
14,Take a vitamin supplement for immune health,"take,vitamin,supplement,immune,health",1,0
15,Prepare and send an important business proposal,"prepare,send,business,proposal,work",2,4
16,Write a research paper for a business studies class,"write,research,paper,business,studies,education",3,2
17,Rearrange bookshelves by category,"rearrange,bookshelves,category,household",2,3
18,Clean and disinfect the bathroom,"clean,disinfect,bathroom,household",4,3
19,Water indoor plants,"water,indoor,plants,household",5,3
20,Take an online language learning session,"take,online,language,learning,session,education",3,2
21,Drink a cup of green tea for better metabolism,"drink,green,tea,metabolism,health",3,0
22,Try a new fruit or vegetable,"try,new,fruit,vegetable,health",2,0
23,Fix a broken drawer or cabinet handle,"fix,broken,drawer,cabinet,handle,household",5,3
24,Do a bodyweight workout at home,"do,bodyweight,workout,home,health",6,0
25,Plan a family picnic for relaxation and bonding,"plan,family,picnic,relaxation,personal",6,5
26,Meditate for 10 minutes to improve mental clarity,"meditate,mental,clarity,health",1,0
27,Update your online work portfolio,"update,online,work,portfolio,work",4,4
28,Write a performance review for an employee,"write,performance,review,employee,work",4,4
29,Read a book on professional development,"read,book,professional,development,work",6,4
30,Take a mental health day to reduce stress,"take,mental,health,day,reduce,stress",3,0
31,Prepare a healthy homemade salad,"prepare,healthy,salad,health",4,0
32,Try a new recipe and cook dinner for yourself,"try,new,recipe,cook,dinner,personal",2,5
33,Prepare a weekly work report,"prepare,weekly,work,report,work",6,4
34,Visit a new place in town to experience something different,"visit,new,place,town,experience,different,personal",5,5
35,Take a walk to boost your mood and energy,"walk,boost,mood,energy,health",2,0
36,Wash and store seasonal clothing properly,"wash,store,seasonal,clothing,properly,household",6,3
37,Write a letter to your future self,"write,letter,future,self,personal",2,5
38,Read an article on leadership strategies,"read,article,leadership,strategies,work",6,4
39,Attend a health checkup for annual screening,"attend,health,checkup,annual,screening",4,0
40,Start a fitness challenge with friends,"start,fitness,challenge,friends,personal",7,5
41,Try a self-care routine with skincare,"try,self-care,routine,skincare,personal",6,5
42,Clean and organize the living room,"clean,organize,living,room,household",3,3
43,Start a new creative hobby such as painting or writing,"start,new,creative,hobby,painting,writing,personal",6,5
44,Do 20 minutes of deep breathing exercises,"do,deep,breathing,exercises,health",2,0
45,Rearrange bookshelves for better organization,"rearrange,bookshelves,better,organization,household",5,3
46,Schedule an annual physical check-up with your doctor,"schedule,annual,physical,check-up,doctor,health",1,0
47,Write a poem about your current emotions,"write,poem,current,emotions,personal",3,5
48,Review your personal finances and set a budget,"review,personal,finances,budget,personal",3,5
49,Go for a scenic walk or drive,"go,scenic,walk,drive,personal",4,5
50,Join a book club to improve reading habits and knowledge,"join,book,club,reading,habits,education",3,2
51,Clean and declutter your car,"clean,declutter,car,household",3,3
52,Complete a science project for a school assignment,"complete,science,project,school,assignment,education",4,2
53,Sleep for 8 hours to improve health and focus,"sleep,health,focus,well-being",5,0
54,Prepare a homemade healthy snack,"prepare,homemade,healthy,snack,health",6,0
55,Try an online learning course,"try,online,learning,course,education",6,2
56,Read a personal development book to improve mindset,"read,personal,development,book,mindset,personal",7,5
57,Take a relaxing bath with essential oils,"take,relaxing,bath,essential,oils,personal",6,5
58,Spend quality time with family over the weekend,"spend,quality,time,family,personal",6,5
59,Replace old light bulbs with energy-efficient ones,"replace,old,light,bulbs,energy-efficient,household",6,3
60,Prepare an agenda for the next team meeting,"prepare,agenda,next,team,meeting,work",1,4
61,Host a team meeting to review project progress,"host,team,meeting,review,progress,work",5,4
62,Try a guided meditation session,"try,guided,meditation,session,personal",4,5
63,Respond to important work emails,"respond,work,emails,important",1,4
64,Complete a financial budgeting course online,"complete,financial,budgeting,course,education",2,2
65,Research industry trends for insights,"research,industry,trends,insights,work",5,4
66,Listen to a lecture on an unfamiliar topic,"listen,lecture,unfamiliar,topic,education",4,2
67,Write a short biography of a famous person,"write,short,biography,famous,person,education",5,2
68,Drink at least 8 glasses of water,"drink,water,hydration,health",2,0
69,Plan a solo day trip,"plan,solo,day,trip,personal",4,5
70,Plan a solo day trip for relaxation,"plan,solo,day trip,relaxation,personal",2,5
71,Write a short essay on a science topic,"write,short,essay,science,topic,education",6,2
72,Write a research paper on advancements in machine learning,"write,research,paper,advancements,machine,learning,education",2,2
73,Host a game night with friends for fun and relaxation,"host,game,night,friends,fun,relaxation,personal",7,5
74,Set up a new home security system,"set up,new,home,security,system,household",6,3
75,Have a healthy breakfast with protein and fiber,"healthy,breakfast,protein,fiber,health",3,0
76,Prepare for an important client presentation,"prepare,client,presentation,work",2,4
77,Research the history of ancient civilizations,"research,history,ancient,civilizations,education",6,2
78,Do a full-body stretching routine,"do,full-body,stretching,routine,health",2,0
79,Brainstorm innovative ideas for a project,"brainstorm,innovative,ideas,project,work",2,4
80,Stretch for 15 minutes after waking up,"stretch,15,minutes,waking,health",4,0
81,Submit homework for the psychology class,"submit,homework,psychology,class,education",5,2
82,Tidy up the garage and dispose of old items,"tidy,garage,dispose,old,items,household",6,3
83,Write a one-page summary of a lecture,"write,one-page,summary,lecture,education",3,2
84,Spend time outdoors to improve mood and focus,"spend,time,outdoors,mood,focus,personal",4,5
85,Attend a virtual career fair,"attend,virtual,career,fair,work",5,4
86,Update internal documentation for work processes,"update,internal,documentation,work,processes,work",5,4
87,Practice a creative activity like painting,"practice,creative,painting,personal",4,5
88,Enroll in an online language course,"enroll,online,language,course,education",6,2
89,Spend a day without using social media,"spend,day,without,social,media,personal",6,5
90,Improve email communication templates,"improve,email,communication,templates,work",5,4
91,Complete a coding assignment for your computer science course,"complete,coding,assignment,computer,science,education",6,2
92,Practice solving math puzzles,"practice,solving,math,puzzles,education",4,2
