TaskID,Task_Description,Keywords,Due_Days,Priority_Score
1,Study Deep Learning 30min,"Deep Learning, Study",0,9
2,Study Machine Learning 30min,"Machine Learning, Study",0,8
3,Study Java Course ,"Java, Study",0,7
4,Study DSA 90min ,"DSA, Study",0,10
5,Solve one leetcode problem,"Leetcode, Problem Solving",0,7
6,Continue To do list project,"To-do list, Project",0,6
7,Write ANN Assignment,"ANN, Assignment",3,8
8,Create a dataset for the training ,"Dataset, Training",3,8
9,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
10,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
11,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
12,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
13,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
14,Draft an email to the client,"Email, Client, Work",1,5
15,Prepare a weekly progress report,"Progress Report, Work",2,7
16,Attend the project status meeting,"Meeting, Project, Work",3,6
17,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
18,Update the task management system,"Task Management, Updates, Work",4,5
19,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
20,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
21,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
22,Pay utility bills,"Bills, Utilities, Household",1,3
23,Water the plants,"Gardening, Plants, Household",4,2
24,Book a routine health checkup,"Health, Checkup, Appointment",1,4
25,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
26,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
27,Consult a dietitian,"Dietitian, Health, Advice",1,4
28,Track daily water intake,"Hydration, Health, Tracking",4,2
29,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
30,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
31,Join a Zumba class,"Zumba, Dance, Exercises",2,6
32,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
33,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
34,Write in a journal,"Journaling, Writing, Personal",4,3
35,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
36,Call a family member,"Family, Personal, Communication",3,2
37,Organize digital photo albums,"Photos, Organizing, Personal",5,4
38,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
39,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
40,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
41,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
42,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
43,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
44,Draft an email to the client,"Email, Client, Work",1,5
45,Prepare a weekly progress report,"Progress Report, Work",2,7
46,Attend the project status meeting,"Meeting, Project, Work",3,6
47,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
48,Update the task management system,"Task Management, Updates, Work",4,5
49,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
50,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
51,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
52,Pay utility bills,"Bills, Utilities, Household",1,3
53,Water the plants,"Gardening, Plants, Household",4,2
54,Book a routine health checkup,"Health, Checkup, Appointment",1,4
55,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
56,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
57,Consult a dietitian,"Dietitian, Health, Advice",1,4
58,Track daily water intake,"Hydration, Health, Tracking",4,2
59,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
60,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
61,Join a Zumba class,"Zumba, Dance, Exercises",2,6
62,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
63,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
64,Write in a journal,"Journaling, Writing, Personal",4,3
65,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
66,Call a family member,"Family, Personal, Communication",3,2
67,Organize digital photo albums,"Photos, Organizing, Personal",5,4
68,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
69,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
70,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
71,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
72,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
73,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
74,Draft an email to the client,"Email, Client, Work",1,5
75,Prepare a weekly progress report,"Progress Report, Work",2,7
76,Attend the project status meeting,"Meeting, Project, Work",3,6
77,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
78,Update the task management system,"Task Management, Updates, Work",4,5
